code;libelle;gid
56.30Z;Débits de boissons;525
58.11Z;Édition de livres;526
58.12Z;Édition de répertoires et de fichiers d'adresses;527
58.13Z;Édition de journaux;528
58.14Z;Édition de revues et périodiques;529
58.19Z;Autres activités d'édition;530
58.21Z;Édition de jeux électroniques;531
58.29A;Édition de logiciels système et de réseau;532
58.29B;Edition de logiciels outils de développement et de langages;533
58.29C;Edition de logiciels applicatifs;534
59.11A;Production de films et de programmes pour la télévision ;535
59.11B;Production de films institutionnels et publicitaires;536
59.11C;Production de films pour le cinéma;537
59.12Z;Post-production de films cinématographiques, de vidéo et de programmes de télévision;538
59.13A;Distribution de films cinématographiques;539
59.13B;Edition et distribution vidéo;540
59.14Z;Projection de films cinématographiques;541
59.20Z;Enregistrement sonore et édition musicale ;542
60.10Z;Édition et diffusion de programmes radio;543
60.20A;Edition de chaînes généralistes;544
60.20B;Edition de chaînes thématiques;545
61.10Z;Télécommunications filaires;546
61.20Z;Télécommunications sans fil ;547
61.30Z;Télécommunications par satellite;548
61.90Z;Autres activités de télécommunication ;549
62.01Z;Programmation informatique;550
62.02A;Conseil en systèmes et logiciels informatiques;551
62.02B;Tierce maintenance de systèmes et d’applications informatiques;552
62.03Z;Gestion d'installations informatiques;553
62.09Z;Autres activités informatiques;554
63.11Z;Traitement de données, hébergement et activités connexes;555
63.12Z;Portails Internet;556
63.91Z;Activités des agences de presse;557
63.99Z;Autres services d'information n.c.a.;558
64.11Z;Activités de banque centrale;559
64.19Z;Autres intermédiations monétaires;560
64.20Z;Activités des sociétés holding;561
64.30Z;Fonds de placement et entités financières similaires;562
64.91Z;Crédit-bail ;563
64.92Z;Autre distribution de crédit;564
64.99Z;Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.;565
65.11Z;Assurance vie;566
65.12Z;Autres assurances;567
65.20Z;Réassurance;568
65.30Z;Caisses de retraite;569
66.11Z;Administration de marchés financiers;570
66.12Z;Courtage de valeurs mobilières et de marchandises;571
66.19A;Supports juridiques de gestion de patrimoine mobilier;572
66.19B;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.;573
66.21Z;Évaluation des risques et dommages;574
66.22Z;Activités des agents et courtiers d'assurances;575
66.29Z;Autres activités auxiliaires d'assurance et de caisses de retraite;576
66.30Z;Gestion de fonds;577
68.10Z;Activités des marchands de biens immobiliers;578
68.20A;Location de logements;579
68.20B;Location de terrains et d'autres biens immobiliers;580
68.31Z;Agences immobilières;581
68.32A;Administration d'immeubles et autres biens immobiliers;582
68.32B;Supports juridiques de gestion de patrimoine immobilier;583
69.10Z;Activités juridiques;584
69.20Z;Activités comptables;585
70.10Z;Activités des sièges sociaux;586
70.21Z;Conseil en relations publiques et communication;587
70.22Z;Conseil pour les affaires et autres conseils de gestion;588
71.11Z;Activités d'architecture ;589
71.12A;Activité des géomètres;590
71.12B;Ingénierie, études techniques;591
71.20A;Contrôle technique automobile;592
71.20B;Analyses, essais et inspections techniques;593
72.11Z;Recherche-développement en biotechnologie;594
72.19Z;Recherche-développement en autres sciences physiques et naturelles;595
72.20Z;Recherche-développement en sciences humaines et sociales;596
73.11Z;Activités des agences de publicité;597
73.12Z;Régie publicitaire de médias;598
73.20Z;Études de marché et sondages;599
74.10Z;Activités spécialisées de design;600
74.20Z;Activités photographiques;601
74.30Z;Traduction et interprétation;602
74.90A;Activité des économistes de la construction;603
74.90B;Activités spécialisées, scientifiques et techniques diverses;604
75.00Z;Activités vétérinaires;605
77.11A;Location de courte durée de voitures et de véhicules automobiles légers;606
77.11B;Location de longue durée de voitures et de véhicules automobiles légers;607
77.12Z;Location et location-bail de camions;608
77.21Z;Location et location-bail d'articles de loisirs et de sport ;609
77.22Z;Location de vidéocassettes et disques vidéo;610
77.29Z;Location et location-bail d'autres biens personnels et domestiques;611
77.31Z;Location et location-bail de machines et équipements agricoles;612
77.32Z;Location et location-bail de machines et équipements pour la construction;613
77.33Z;Location et location-bail de machines de bureau et de matériel informatique;614
77.34Z;Location et location-bail de matériels de transport par eau;615
77.35Z;Location et location-bail de matériels de transport aérien;616
77.39Z;Location et location-bail d'autres machines, équipements et biens matériels n.c.a. ;617
77.40Z;Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;618
78.10Z;Activités des agences de placement de main-d'œuvre ;619
78.20Z;Activités des agences de travail temporaire ;620
78.30Z;Autre mise à disposition de ressources humaines;621
79.11Z;Activités des agences de voyage;622
79.12Z;Activités des voyagistes;623
79.90Z;Autres services de réservation et activités connexes;624
80.10Z;Activités de sécurité privée ;625
80.20Z;Activités liées aux systèmes de sécurité ;626
80.30Z;Activités d'enquête;627
81.10Z;Activités combinées de soutien lié aux bâtiments ;628
81.21Z;Nettoyage courant des bâtiments;629
81.22Z;Autres activités de nettoyage des bâtiments et nettoyage industriel;630
81.29A;Désinfection, désinsectisation, dératisation;631
81.29B;Autres activités de nettoyage n.c.a.;632
81.30Z;Services d'aménagement paysager ;633
82.11Z;Services administratifs combinés de bureau;634
82.19Z;Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau;635
82.20Z;Activités de centres d'appels;636
82.30Z;Organisation de foires, salons professionnels et congrès;637
82.91Z;Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle;638
82.92Z;Activités de conditionnement;639
82.99Z;Autres activités de soutien aux entreprises n.c.a.;640
84.11Z;Administration publique générale;641
84.12Z;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale ;642
84.13Z;Administration publique (tutelle) des activités économiques;643
84.21Z;Affaires étrangères;644
84.22Z;Défense;645
84.23Z;Justice;646
84.24Z;Activités d’ordre public et de sécurité;647
84.25Z;Services du feu et de secours;648
84.30A;Activités générales de sécurité sociale;649
84.30B;Gestion des retraites complémentaires;650
84.30C;Distribution sociale de revenus;651
85.10Z;Enseignement pré-primaire;652
85.20Z;Enseignement primaire;653
85.31Z;Enseignement secondaire général;654
85.32Z;Enseignement secondaire technique ou professionnel;655
85.41Z;Enseignement post-secondaire non supérieur;656
85.42Z;Enseignement supérieur;657
85.51Z;Enseignement de disciplines sportives et d'activités de loisirs;658
85.52Z;Enseignement culturel;659
85.53Z;Enseignement de la conduite;660
85.59A;Formation continue d'adultes;661
85.59B;Autres enseignements;662
85.60Z;Activités de soutien à l'enseignement;663
86.10Z;Activités hospitalières;664
86.21Z;Activité des médecins généralistes;665
86.22A;Activités de radiodiagnostic et de radiothérapie;666
86.22B;Activités chirurgicales;667
86.22C;Autres activités des médecins spécialistes;668
86.23Z;Pratique dentaire;669
86.90A;Ambulances;670
86.90B;Laboratoires d'analyses médicales;671
86.90C;Centres de collecte et banques d'organes;672
86.90D;Activités des infirmiers et des sages-femmes;673
86.90E;Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues;674
86.90F;Activités de santé humaine non classées ailleurs;675
87.10A;Hébergement médicalisé pour personnes âgées;676
87.10B;Hébergement médicalisé pour enfants handicapés ;677
87.10C;Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé  ;678
87.20A;Hébergement social pour handicapés mentaux et malades mentaux ;679
87.20B;Hébergement social pour toxicomanes;680
87.30A;Hébergement social pour personnes âgées;681
87.30B;Hébergement social pour handicapés  physiques;682
87.90A;Hébergement social pour enfants en difficultés ;683
87.90B;Hébergement social pour adultes et familles en difficultés et autre hébergement social ;684
88.10A;Aide à domicile  ;685
88.10B;Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées;686
88.10C;Aide par le travail ;687
88.91A;Accueil de jeunes enfants;688
88.91B;Accueil ou accompagnement sans hébergement d’enfants handicapés;689
88.99A;Autre accueil ou accompagnement sans hébergement d’enfants  et d’adolescents ;690
88.99B;Action sociale sans hébergement n.c.a.;691
90.01Z;Arts du spectacle vivant;692
90.02Z;Activités de soutien au spectacle vivant;693
90.03A;Création artistique relevant des arts plastiques;694
90.03B;Autre création artistique;695
90.04Z;Gestion de salles de spectacles;696
91.01Z;Gestion des bibliothèques et des archives;697
91.02Z;Gestion des musées;698
91.03Z;Gestion des sites et monuments historiques et des attractions touristiques similaires;699
91.04Z;Gestion des jardins botaniques et zoologiques et des réserves naturelles;700
92.00Z;Organisation de jeux de hasard et d'argent;701
93.11Z;Gestion d'installations sportives;702
93.12Z;Activités de clubs de sports;703
93.13Z;Activités des centres de culture physique;704
93.19Z;Autres activités liées au sport;705
93.21Z;Activités des parcs d'attractions et parcs à thèmes;706
93.29Z;Autres activités récréatives et de loisirs;707
94.11Z;Activités des organisations patronales et consulaires;708
94.12Z;Activités des organisations professionnelles;709
94.20Z;Activités des syndicats de salariés;710
94.91Z;Activités des organisations religieuses;711
94.92Z;Activités des organisations politiques;712
94.99Z;Autres organisations fonctionnant par adhésion volontaire;713
95.11Z;Réparation d'ordinateurs et d'équipements périphériques;714
95.12Z;Réparation d'équipements de communication;715
95.21Z;Réparation de produits électroniques grand public;716
95.22Z;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;717
95.23Z;Réparation de chaussures et d'articles en cuir;718
95.24Z;Réparation de meubles et d'équipements du foyer;719
95.25Z;Réparation d'articles d'horlogerie et de bijouterie;720
95.29Z;Réparation d'autres biens personnels et domestiques;721
96.01A;Blanchisserie-teinturerie de gros;722
96.01B;Blanchisserie-teinturerie de détail;723
96.02A;Coiffure;724
96.02B;Soins de beauté;725
96.03Z;Services funéraires;726
96.04Z;Entretien corporel;727
96.09Z;Autres services personnels n.c.a.;728
97.00Z;Activités des ménages en tant qu'employeurs de personnel domestique;729
98.10Z;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;730
98.20Z;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;731
99.00Z;Activités des organisations et organismes extraterritoriaux;732
