code;libelle;gid
17.23Z;Fabrication d'articles de papeterie;134
17.24Z;Fabrication de papiers peints;135
17.29Z;Fabrication d'autres articles en papier ou en carton;136
18.11Z;Imprimerie de journaux;137
18.12Z;Autre imprimerie (labeur);138
18.13Z;Activités de pré-presse ;139
18.14Z;Reliure et activités connexes;140
18.20Z;Reproduction d'enregistrements;141
19.10Z;Cokéfaction;142
19.20Z;Raffinage du pétrole;143
20.11Z;Fabrication de gaz industriels;144
20.12Z;Fabrication de colorants et de pigments;145
20.13A;Enrichissement et  retraitement de matières nucléaires;146
20.13B;Fabrication d'autres produits chimiques inorganiques de base n.c.a.;147
20.14Z;Fabrication d'autres produits chimiques organiques de base;148
20.15Z;Fabrication de produits azotés et d'engrais;149
20.16Z;Fabrication de matières plastiques de base;150
20.17Z;Fabrication de caoutchouc synthétique;151
20.20Z;Fabrication de pesticides et d’autres produits agrochimiques;152
20.30Z;Fabrication de peintures, vernis, encres et mastics;153
20.41Z;Fabrication de savons, détergents et produits d'entretien;154
20.42Z;Fabrication de parfums et de produits pour la toilette;155
20.51Z;Fabrication de produits explosifs;156
20.52Z;Fabrication de colles;157
20.53Z;Fabrication d'huiles essentielles;158
20.59Z;Fabrication d'autres produits chimiques n.c.a.;159
20.60Z;Fabrication de fibres artificielles ou synthétiques;160
21.10Z;Fabrication de produits pharmaceutiques de base;161
21.20Z;Fabrication de préparations pharmaceutiques;162
22.11Z;Fabrication et rechapage de pneumatiques;163
22.19Z;Fabrication d'autres articles en caoutchouc;164
22.21Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;165
22.22Z;Fabrication d'emballages en matières plastiques;166
22.23Z;Fabrication d'éléments en matières plastiques pour la construction;167
22.29A;Fabrication de pièces techniques à base de matières plastiques;168
22.29B;Fabrication de produits de consommation courante en matières plastiques;169
23.11Z;Fabrication de verre plat;170
23.13Z;Fabrication de verre creux;172
23.14Z;Fabrication de fibres de verre;173
23.19Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;174
23.20Z;Fabrication de produits réfractaires;175
23.31Z;Fabrication de carreaux en céramique;176
23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;177
23.41Z;Fabrication d'articles céramiques à usage domestique ou ornemental;178
23.42Z;Fabrication d'appareils sanitaires en céramique;179
23.43Z;Fabrication d'isolateurs et pièces isolantes en céramique;180
23.44Z;Fabrication d'autres produits céramiques à usage technique;181
23.49Z;Fabrication d'autres produits céramiques;182
23.51Z;Fabrication de ciment;183
23.52Z;Fabrication de chaux et plâtre;184
23.61Z;Fabrication d'éléments en béton pour la construction;185
23.62Z;Fabrication d'éléments en plâtre pour la construction;186
23.63Z;Fabrication de béton prêt à l'emploi;187
23.64Z;Fabrication de mortiers et bétons secs;188
23.65Z;Fabrication d'ouvrages en fibre-ciment;189
23.69Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;190
23.70Z;Taille, façonnage et finissage de pierres;191
23.91Z;Fabrication de produits abrasifs;192
23.99Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;193
24.10Z;Sidérurgie;194
24.20Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ;195
24.31Z;Étirage à froid de barres;196
24.32Z;Laminage à froid de feuillards;197
24.33Z;Profilage à froid par formage ou pliage;198
24.34Z;Tréfilage à froid;199
24.41Z;Production de métaux précieux;200
24.42Z;Métallurgie de l'aluminium;201
24.43Z;Métallurgie du plomb, du zinc ou de l'étain;202
24.44Z;Métallurgie du cuivre;203
24.45Z;Métallurgie des autres métaux non ferreux;204
24.46Z;Élaboration et transformation de matières nucléaires;205
24.51Z;Fonderie de fonte;206
24.52Z;Fonderie d'acier;207
24.53Z;Fonderie de métaux légers;208
24.54Z;Fonderie d'autres métaux non ferreux;209
25.11Z;Fabrication de structures métalliques et de parties de structures;210
25.12Z;Fabrication de portes et fenêtres en métal;211
25.21Z;Fabrication de radiateurs et de chaudières pour le chauffage central;212
25.29Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;213
25.30Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;214
25.40Z;Fabrication d'armes et de munitions;215
25.50A;"Forge, estampage, matriçage ; métallurgie des poudres";216
25.50B;Découpage, emboutissage;217
25.61Z;Traitement et revêtement des métaux;218
25.62A;Décolletage;219
25.62B;Mécanique industrielle;220
25.71Z;Fabrication de coutellerie;221
25.72Z;Fabrication de serrures et de ferrures;222
25.73A;Fabrication de moules et modèles;223
25.73B;Fabrication d'autres outillages;224
25.91Z;Fabrication de fûts et emballages métalliques similaires;225
25.92Z;Fabrication d'emballages métalliques légers;226
25.93Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;227
25.94Z;Fabrication de vis et de boulons;228
25.99A;Fabrication d'articles métalliques ménagers;229
25.99B;Fabrication d'autres articles métalliques;230
26.11Z;Fabrication de composants électroniques;231
26.12Z;Fabrication de cartes électroniques assemblées;232
26.20Z;Fabrication d'ordinateurs et d'équipements périphériques;233
26.30Z;Fabrication d'équipements de communication ;234
26.40Z;Fabrication de produits électroniques grand public;235
26.51A;Fabrication d'équipements d'aide à la navigation;236
26.51B;Fabrication d'instrumentation scientifique et technique;237
26.52Z;Horlogerie;238
26.60Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ;239
26.70Z;Fabrication de matériels optique et photographique;240
26.80Z;Fabrication de supports magnétiques et optiques;241
27.11Z;Fabrication de moteurs, génératrices et transformateurs électriques;242
27.12Z;Fabrication de matériel de distribution et de commande électrique;243
27.20Z;Fabrication de piles et d'accumulateurs électriques;244
27.31Z;Fabrication de câbles de fibres optiques;245
27.32Z;Fabrication d'autres fils et câbles électroniques ou électriques;246
27.33Z;Fabrication de matériel d'installation électrique;247
27.40Z;Fabrication d'appareils d'éclairage électrique;248
27.51Z;Fabrication d'appareils électroménagers;249
27.52Z;Fabrication d'appareils ménagers non électriques;250
